100000,1,10001,3.3,1
100001,1,10001,3.3,1
100001,2,10002,13.76,2
100002,1,10002,13.76,1
100002,3,10004,12.77,1
100002,2,10003,11.76,3
100003,1,10004,12.77,1
100004,1,10004,12.77,5
100004,2,10005,18.47,1
100005,1,10005,18.47,1
100005,3,10007,3.8,1
100005,2,10006,5.24,2
100006,1,10007,3.8,3
100007,1,10007,3.8,1
100007,2,10008,4.04,1
100008,1,10008,4.04,5
100008,2,10009,3.47,1
100008,3,10010,14.4,1
100009,1,10010,14.4,2
100010,1,10010,14.4,1
100010,2,10011,65.83,3
100011,1,10011,65.83,1
100011,2,10012,6.38,1
100011,3,10013,14.42,5
100012,1,10013,14.42,1
100013,1,10013,14.42,1
100013,2,10014,6.1,2
100014,1,10014,6.1,1
100014,3,10016,7.79,1
100014,2,10015,5.19,3
100015,1,10016,7.79,1
100016,1,10016,7.79,5
100016,2,10017,21.31,1
100017,1,10017,21.31,1
100017,3,10019,6.89,1
100017,2,10018,2.07,2
100018,1,10019,6.89,3
100019,1,10019,6.89,1
100019,2,10020,4.24,1
100020,1,10020,4.24,5
100020,2,10021,6.37,1
100020,3,10022,7.04,1
100021,1,10022,7.04,2
100022,1,10022,7.04,1
100022,2,10023,5.69,3
100023,1,10023,5.69,1
100023,2,10024,4.16,1
100023,3,10025,5.87,5
100024,1,10025,5.87,1
100025,1,10025,5.87,1
100025,2,10026,2.63,2
100026,1,10026,2.63,1
100026,3,10028,7.11,1
100026,2,10027,3.23,3
100027,1,10028,7.11,1
100028,1,10028,7.11,5
100028,2,10029,7.35,1
100029,1,10029,7.35,1
100029,3,10031,4.52,1
100029,2,10030,5.2,2
100030,1,10031,4.52,3
100031,1,10031,4.52,1
100031,2,10032,2.54,1
100032,1,10032,2.54,5
100032,2,10033,1.51,1
100032,3,10034,21.36,1
100033,1,10034,21.36,2
100034,1,10034,21.36,1
100034,2,10035,52.78,3
100035,1,10035,52.78,1
100035,2,10036,8.03,1
100035,3,10037,25.05,5
100036,1,10037,25.05,1
100037,1,10037,25.05,1
100037,2,10038,32.54,2
100038,1,10038,32.54,1
100038,3,10040,8.54,1
100038,2,10039,29.64,3
100039,1,10040,8.54,1
100040,1,10040,8.54,5
100040,2,10041,10.58,1
100041,1,10041,10.58,1
100041,3,10043,26.99,1
100041,2,10042,28.04,2
100042,1,10043,26.99,3
100043,1,10043,26.99,1
100043,2,10044,30.91,1
100044,1,10044,30.91,5
100044,2,10045,7.72,1
100044,3,10046,4.56,1
100045,1,10046,4.56,2
100046,1,10046,4.56,1
100046,2,10047,59.8,3
100047,1,10047,59.8,1
100047,2,10048,44.2,1
100047,3,10049,26.39,5
100048,1,10049,26.39,1
100049,1,10049,26.39,1
100049,2,10050,5.62,2
100050,1,10050,5.62,1
100050,3,10052,9.14,1
100050,2,10051,4.8,3
100051,1,10052,9.14,1
100052,1,10052,9.14,5
100052,2,10053,5.11,1
100053,1,10053,5.11,1
100053,3,10055,8.48,1
100053,2,10054,14.06,2
100054,1,10055,8.48,3
100055,1,10055,8.48,1
100055,2,10056,1.83,1
100056,1,10056,1.83,5
100056,2,10057,12.94,1
100056,3,10058,3.15,1
100057,1,10058,3.15,2
100058,1,10058,3.15,1
100058,2,10059,3.88,3
100059,1,10059,3.88,1
100059,2,10060,6.23,1
100059,3,10061,2.58,5
100060,1,10061,2.58,1
100061,1,10061,2.58,1
100061,2,10062,2.43,2
100062,1,10062,2.43,1
100062,3,10064,4.99,1
100062,2,10063,3.83,3
100063,1,10064,4.99,1
100064,1,10064,4.99,5
100064,2,10065,3.04,1
100065,1,10065,3.04,1
100065,3,10067,6.5,1
100065,2,10066,1.26,2
100066,1,10067,6.5,3
100067,1,10067,6.5,1
100067,2,10068,7.44,1
100068,1,10068,7.44,5
100068,2,10069,8.04,1
100068,3,10070,11.98,1
100069,1,10070,11.98,2
100070,1,10070,11.98,1
100070,2,10071,11.98,3
100071,1,10071,11.98,1
100071,2,10001,3.3,1
100071,3,10002,13.76,5
100072,1,10002,13.76,1
100073,1,10002,13.76,1
100073,2,10003,11.76,2
100074,1,10003,11.76,1
100074,3,10005,18.47,1
100074,2,10004,12.77,3
100075,1,10005,18.47,1
100076,1,10005,18.47,5
100076,2,10006,5.24,1
100077,1,10006,5.24,1
100077,3,10008,4.04,1
100077,2,10007,3.8,2
100078,1,10008,4.04,3
100079,1,10008,4.04,1
