20|"Private"|314422|"HS-grad"|9|"NeverM"|"Sales"|"1"|"FreeShi"|"Female"|"U.S."|0|3|3|0|2|1|0|1|0|1|1|0|1|1|1|0|1|3001|                                  
27|"?"|224421|"< Bach."|10|"Divorc."|"?"|"1"|"FreeShi"|"Male"|"U.S."|0|4|4|0|3|1|0|1|0|1|1|0|1|1|1|0|1|3002|                                            
21|"Private"|109952|"HS-grad"|9|"Married"|"Crafts"|"3"|"FreeShi"|"Male"|"U.S."|0|4|4|0|2|1|0|1|0|0|0|0|1|1|1|0|0|3003|                                  
37|"SelfENI"|82540|"9th"|5|"Married"|"Transp."|"3"|"FreeShi"|"Male"|"U.S."|1|7|7|0|6|1|0|0|0|0|0|1|0|1|0|0|0|3004|                                      
47|"Private"|192776|"Bach."|13|"Married"|"Prof."|"3"|"FreeShi"|"Male"|"U.S."|0|5|5|0|6|1|0|1|0|1|1|1|1|1|0|0|1|3005|                                    
19|"Private"|228238|"HS-grad"|9|"NeverM"|"Machine"|"6-8"|"FreeShi"|"Male"|"Mexico"|0|4|4|0|2|1|0|1|0|1|1|0|1|1|1|0|1|3006|                              
35|"Private"|189916|"Bach."|13|"Married"|"Sales"|"4-5"|"FreeShi"|"Female"|"U.S."|1|3|3|0|3|1|0|1|0|1|1|1|1|1|0|0|1|3007|                                
50|"Private"|89041|"HS-grad"|9|"Married"|"Crafts"|"3"|"FreeShi"|"Male"|"U.S."|1|5|5|1502.4|6|1|1|0|0|0|0|1|1|1|0|0|0|3008|                              
20|"Private"|84726|"< Bach."|10|"NeverM"|"TechSup"|"2"|"FreeShi"|"Female"|"U.S."|0|4|4|0|2|1|0|0|0|0|0|0|1|1|1|0|0|3009|                                
71|"Private"|200418|"5th-6th"|3|"Married"|"Transp."|"3"|"FreeShi"|"Male"|"U.S."|0|4|4|0|7|1|0|1|1|1|1|1|0|1|0|0|0|3010|                                 
45|"Private"|98092|"HS-grad"|9|"Married"|"Sales"|"3"|"FreeShi"|"Male"|"U.S."|0|6|6|0|7|1|0|0|0|0|0|1|1|1|0|0|0|3011|                                    
47|"Fed-gov"|119199|"< Bach."|10|"Divorc."|"Cleric."|"9+"|"FreeShi"|"Female"|"U.S."|0|4|4|0|5|1|0|1|0|0|0|1|1|1|0|0|0|3012|                             
30|"Private"|488720|"Assoc-V"|11|"Married"|"Handler"|"3"|"FreeShi"|"Male"|"Mexico"|0|4|4|0|3|1|0|1|0|1|1|0|1|1|0|0|1|3013|                              
42|"Loc-gov"|227890|"Bach."|13|"Married"|"Exec."|"3"|"FreeShi"|"Male"|"U.S."|0|4|4|0|4|1|0|1|0|1|1|1|1|1|0|0|1|3014|                                    
24|"?"|283731|"Bach."|13|"NeverM"|"?"|"1"|"FreeShi"|"Male"|"U.S."|0|4|4|0|2|1|0|1|0|1|1|0|1|1|1|0|1|3015|                                               
37|"Loc-gov"|397877|"Bach."|13|"Married"|"Cleric."|"3"|"FreeShi"|"Male"|"U.S."|1|4|4|0|4|1|0|1|0|1|1|1|1|1|0|0|1|3016|                                  
21|"Sta-gov"|258490|"< Bach."|10|"NeverM"|"Prof."|"2"|"FreeShi"|"Female"|"U.S."|0|2|2|0|1|1|0|1|0|1|1|0|1|1|1|0|1|3017|                                 
34|"SelfENI"|196791|"Assoc-A"|12|"Married"|"Prof."|"4-5"|"FreeShi"|"Female"|"U.S."|1|2.5|3|0|3|1|0|1|0|1|1|0|1|1|0|0|1|3018|                            
62|"Private"|152148|"9th"|5|"Married"|"Other"|"3"|"FreeShi"|"Male"|"U.S."|0|4|4|0|6|1|0|1|1|1|0|1|0|1|0|0|0|3019|                                       
43|"Private"|188808|"Masters"|14|"Married"|"Exec."|"3"|"FreeShi"|"Male"|"U.S."|1|4.5|5|0|5|1|0|1|0|1|1|1|1|1|0|0|1|3020|                                
25|"Private"|262978|"< Bach."|10|"NeverM"|"Sales"|"2"|"FreeShi"|"Male"|"U.S."|0|3|3|0|2|1|0|1|0|1|1|0|1|1|1|0|1|3021|                                   
37|"Private"|238959|"HS-grad"|9|"Married"|"Cleric."|"4-5"|"FreeShi"|"Female"|"U.S."|0|4|4|0|4|1|0|1|0|1|1|1|1|1|0|0|1|3022|                             
27|"SelfENI"|212041|"Bach."|13|"NeverM"|"Sales"|"2"|"FreeShi"|"Male"|"U.S."|0|5|5|0|3|1|0|1|0|1|1|0|1|1|1|0|1|3023|                                     
37|"Fed-gov"|194630|"Masters"|14|"NeverM"|"Exec."|"1"|"FreeShi"|"Female"|"U.S."|0|4|4|0|4|1|0|1|0|1|1|1|1|1|0|0|1|3024|                                 
39|"Private"|53447|"HS-grad"|9|"Divorc."|"Farming"|"2"|"FreeShi"|"Female"|"U.S."|0|4|4|0|4|1|0|0|0|0|0|1|1|1|0|0|0|3025|                                
74|"Private"|194312|"9th"|5|"Widowed"|"Crafts"|"2"|"FreeShi"|"Male"|"?"|0|1|1|0|2|1|0|1|1|1|1|1|0|1|0|0|0|3026|                                         
43|"Private"|96421|"Bach."|13|"Divorc."|"Prof."|"9+"|"FreeShi"|"Female"|"Outl-US"|0|2.4|2|0|2|1|0|0|0|0|0|1|1|1|0|0|0|3027|                             
25|"SelfENI"|257574|"Bach."|13|"NeverM"|"Cleric."|"2"|"Discoun"|"Female"|"U.S."|0|2|2|0|1|1|0|1|0|1|1|0|1|1|1|0|1|3028|                                 
34|"Private"|189759|"Bach."|13|"Married"|"Exec."|"3"|"FreeShi"|"Male"|"U.S."|1|4.5|5|0|4|1|0|1|0|1|1|0|1|1|0|0|1|3029|                                  
25|"Private"|198870|"Bach."|13|"NeverM"|"Cleric."|"1"|"Discoun"|"Male"|"U.S."|0|3.5|4|0|3|1|0|1|0|1|1|0|1|1|1|0|1|3030|                                 
51|"Private"|118793|"Bach."|13|"Married"|"Prof."|"3"|"FreeShi"|"Male"|"U.S."|1|7|7|0|9|1|0|1|0|0|0|1|1|1|0|0|0|3031|                                    
23|"Private"|495888|"HS-grad"|9|"NeverM"|"Other"|"2"|"FreeShi"|"Male"|"El-Sal."|0|4|4|0|2|1|0|1|0|1|1|0|1|1|1|0|1|3032|                                 
28|"Private"|111696|"HS-grad"|9|"Separ."|"Crafts"|"2"|"FreeShi"|"Male"|"U.S."|0|4|4|0|3|1|0|1|0|0|0|0|1|1|1|0|0|3033|                                   
34|"Private"|209449|"< Bach."|10|"Married"|"TechSup"|"3"|"Discoun"|"Male"|"U.S."|1|4|4|0|3|1|0|1|0|1|1|0|1|1|0|0|1|3034|                                
58|"Private"|234328|"Bach."|13|"Divorc."|"Sales"|"2"|"FreeShi"|"Male"|"U.S."|0|4|4|0|6|1|0|1|1|1|1|1|1|1|0|0|1|3035|                                    
26|"Private"|202033|"Bach."|13|"Married"|"Transp."|"3"|"FreeShi"|"Male"|"U.S."|1|4|4|0|3|1|0|1|0|1|1|0|1|1|1|0|1|3036|                                  
39|"Private"|141802|"< Bach."|10|"Divorc."|"Cleric."|"9+"|"Discoun"|"Female"|"U.S."|0|4|4|0|4|1|0|1|0|0|0|1|1|1|0|0|0|3037|                             
34|"Private"|144949|"10th"|6|"Married"|"Crafts"|"3"|"FreeShi"|"Male"|"U.S."|1|4.5|5|0|4|1|0|1|0|0|0|0|0|1|0|0|0|3038|                                   
22|"Private"|141698|"10th"|6|"NeverM"|"Crafts"|"9+"|"FreeShi"|"Male"|"U.S."|0|4|4|0|2|1|0|1|0|0|0|0|0|1|1|0|0|3039|                                     
