116|100090|1998-03-31|9|33|1|11.99|
27|100090|1998-03-31|9|33|1|44.99|
35|100090|1998-03-31|9|33|1|49.99|
35|100091|1998-03-31|9|33|1|49.99|
147|100091|1998-03-31|9|33|1|7.99|
46|100091|1998-03-31|9|33|1|22.99|
21|100091|1998-03-31|9|33|1|899.99|
30|100091|1998-03-31|9|33|1|9.99|
27|100093|1998-03-31|9|33|1|44.99|
35|100093|1998-03-31|9|33|1|49.99|
21|100093|1998-03-31|9|33|1|899.99|
26|100093|1998-03-31|9|33|1|149.99|
147|100094|1998-03-31|9|33|1|7.99|
40|100094|1998-03-31|9|33|1|44.99|
40|100095|1998-03-31|9|33|1|44.99|
26|100095|1998-03-31|9|33|1|149.99|
27|100096|1998-03-31|9|33|1|44.99|
147|100096|1998-03-31|9|33|1|7.99|
46|100096|1998-03-31|9|33|1|22.99|
48|100096|1998-03-31|9|33|1|11.99|
30|100096|1998-03-31|9|33|1|9.99|
116|100097|1998-03-31|9|33|1|11.99|
27|100097|1998-03-31|9|33|1|44.99|
48|100097|1998-03-31|9|33|1|11.99|
147|100098|1998-03-31|9|33|1|7.99|
30|100098|1998-03-31|9|33|1|9.99|
46|100098|1998-03-31|9|33|1|22.99|
27|100099|1998-03-31|9|33|1|44.99|
46|100099|1998-03-31|9|33|1|22.99|
40|100099|1998-03-31|9|33|1|44.99|
35|100100|1998-03-31|9|33|1|49.99|
30|100100|1998-03-31|9|33|1|9.99|
116|100101|1998-03-31|9|33|1|11.99|
147|100101|1998-03-31|9|33|1|7.99|
26|100101|1998-03-31|9|33|1|149.99|
128|100101|1998-03-31|9|33|1|27.99|
30|100102|1998-03-31|9|33|1|9.99|
21|100102|1998-03-31|9|33|1|899.99|
48|100102|1998-03-31|9|33|1|11.99|
26|100102|1998-03-31|9|33|1|149.99|
48|100103|1998-03-31|9|33|1|11.99|
128|100104|1998-03-31|9|33|1|27.99|
48|100104|1998-03-31|9|33|1|11.99|
46|100105|1998-03-31|9|33|1|22.99|
21|100105|1998-03-31|9|33|1|899.99|
116|100107|1998-03-31|9|33|1|11.99|
40|100107|1998-03-31|9|33|1|44.99|
26|100107|1998-03-31|9|33|1|149.99|
147|100108|1998-03-31|9|33|1|7.99|
46|100108|1998-03-31|9|33|1|22.99|
48|100108|1998-03-31|9|33|1|11.99|
30|100108|1998-03-31|9|33|1|9.99|
35|100109|1998-03-31|9|33|1|49.99|
147|100109|1998-03-31|9|33|1|7.99|
46|100109|1998-03-31|9|33|1|22.99|
21|100109|1998-03-31|9|33|1|899.99|
30|100109|1998-03-31|9|33|1|9.99|
128|100109|1998-03-31|9|33|1|27.99|
27|100110|1998-03-31|9|33|1|44.99|
128|100110|1998-03-31|9|33|1|27.99|
46|100111|1998-03-31|9|33|1|22.99|
128|100111|1998-03-31|9|33|1|27.99|
27|100112|1998-03-31|9|33|1|44.99|
147|100112|1998-03-31|9|33|1|7.99|
21|100112|1998-03-31|9|33|1|899.99|
46|100112|1998-03-31|9|33|1|22.99|
30|100112|1998-03-31|9|33|1|9.99|
35|100113|1998-03-31|9|33|1|49.99|
147|100113|1998-03-31|9|33|1|7.99|
46|100113|1998-03-31|9|33|1|22.99|
21|100113|1998-03-31|9|33|1|899.99|
26|100113|1998-03-31|9|33|1|149.99|
30|100113|1998-03-31|9|33|1|9.99|
128|100113|1998-03-31|9|33|1|27.99|
116|100114|1998-03-31|9|33|1|11.99|
128|100114|1998-03-31|9|33|1|27.99|
30|100114|1998-03-31|9|33|1|9.99|
21|100114|1998-03-31|9|33|1|899.99|
27|100115|1998-03-31|9|33|1|44.99|
35|100115|1998-03-31|9|33|1|49.99|
147|100115|1998-03-31|9|33|1|7.99|
40|100115|1998-03-31|9|33|1|44.99|
27|100116|1998-03-31|9|33|1|44.99|
21|100116|1998-03-31|9|33|1|899.99|
40|100116|1998-03-31|9|33|1|44.99|
26|100118|1998-03-31|9|33|1|149.99|
116|100119|1998-03-31|9|33|1|11.99|
147|100119|1998-03-31|9|33|1|7.99|
48|100119|1998-03-31|9|33|1|11.99|
35|100120|1998-03-31|9|33|1|49.99|
48|100120|1998-03-31|9|33|1|11.99|
46|100121|1998-03-31|9|33|1|22.99|
21|100121|1998-03-31|9|33|1|899.99|
48|100121|1998-03-31|9|33|1|11.99|
26|100121|1998-03-31|9|33|1|149.99|
147|100122|1998-03-31|9|33|1|7.99|
21|100122|1998-03-31|9|33|1|899.99|
26|100122|1998-03-31|9|33|1|149.99|
116|100123|1998-03-31|9|33|1|11.99|
35|100123|1998-03-31|9|33|1|49.99|
46|100123|1998-03-31|9|33|1|22.99|
128|100124|1998-03-31|9|33|1|27.99|
30|100124|1998-03-31|9|33|1|9.99|
