13|^5MP Telephoto Digital Camera^|^5MP Telephoto Digital Camera^|^Cameras^|2044|^Cameras^|^Photo^|204|^Photo^|1|^U^|^P^|1|^STATUS^|899.99|899.99|^TOTAL^|1||1998-01-01-00-00-00||^A^|
14|^17" LCD w/built-in HDTV Tuner^|^17" LCD w/built-in HDTV Tuner^|^Monitors^|2035|^Monitors^|^Peripherals and Accessories^|203|^Peripherals and Accessories^|1|^U^|^P^|1|^STATUS^|999.99|999.99|^TOTAL^|1||1998-01-01-00-00-00||^A^|
15|^Envoy 256MB - 40GB^|^Envoy 256MB - 40Gb^|^Desktop PCs^|2021|^Desktop PCs^|^Hardware^|202|^Hardware^|1|^U^|^P^|1|^STATUS^|999.99|999.99|^TOTAL^|1||1998-01-01-00-00-00||^A^|
16|^Y Box^|^Y Box^|^Game Consoles^|2011|^Game Consoles^|^Electronics^|201|^Electronics^|1|^U^|^P^|1|^STATUS^|299.99|299.99|^TOTAL^|1||1998-01-01-00-00-00||^A^|
17|^Mini DV Camcorder with 3.5" Swivel LCD^|^Mini DV Camcorder with 3.5" Swivel LCD^|^Camcorders^|2041|^Camcorders^|^Photo^|204|^Photo^|1|^U^|^P^|1|^STATUS^|1099.99|1099.99|^TOTAL^|1||1998-01-01-00-00-00||^A^|
18|^Envoy Ambassador^|^Envoy Ambassador^|^Portable PCs^|2022|^Portable PCs^|^Hardware^|202|^Hardware^|1|^U^|^P^|1|^STATUS^|1299.99|1299.99|^TOTAL^|1||1998-01-01-00-00-00||^A^|
19|^Laptop carrying case^|^Laptop carrying case^|^Accessories^|2051|^Accessories^|^Software/Other^|205|^Software/Other^|1|^U^|^P^|1|^STATUS^|55.99|55.99|^TOTAL^|1||1998-01-01-00-00-00||^A^|
20|^Home Theatre Package with DVD-Audio/Video Play^|^Home Theatre Package with DVD-Audio/Video Play^|^Home Audio^|2012|^Home Audio^|^Electronics^|201|^Electronics^|1|^U^|^P^|1|^STATUS^|599.99|599.99|^TOTAL^|1||1998-01-01-00-00-00||^A^|
21|^18" Flat Panel Graphics Monitor^|^18" Flat Panel Graphics Monitor^|^Monitors^|2035|^Monitors^|^Peripherals and Accessories^|203|^Peripherals and Accessories^|1|^U^|^P^|1|^STATUS^|899.99|899.99|^TOTAL^|1||1998-01-01-00-00-00||^A^|
22|^Envoy External Keyboard^|^Envoy External Keyboard^|^Accessories^|2031|^Accessories^|^Peripherals and Accessories^|203|^Peripherals and Accessories^|1|^U^|^P^|1|^STATUS^|24.99|24.99|^TOTAL^|1||1998-01-01-00-00-00||^A^|
23|^External 101-key keyboard^|^External 101-key keyboard^|^Accessories^|2051|^Accessories^|^Software/Other^|205|^Software/Other^|1|^U^|^P^|1|^STATUS^|21.99|21.99|^TOTAL^|1||1998-01-01-00-00-00||^A^|
24|^PCMCIA modem/fax 28800 baud^|^PCMCIA modem/fax 28800 baud^|^Modems/Fax^|2034|^Modems/Fax^|^Peripherals and Accessories^|203|^Peripherals and Accessories^|1|^U^|^P^|1|^STATUS^|45.99|45.99|^TOTAL^|1||1998-01-01-00-00-00||^A^|
25|^SIMM- 8MB PCMCIAII card^|^SIMM- 8MB PCMCIAII card^|^Memory^|2033|^Memory^|^Peripherals and Accessories^|203|^Peripherals and Accessories^|1|^U^|^P^|1|^STATUS^|112.99|112.99|^TOTAL^|1||1998-01-01-00-00-00||^A^|
26|^SIMM- 16MB PCMCIAII card^|^SIMM- 16MB PCMCIAII card^|^Memory^|2033|^Memory^|^Peripherals and Accessories^|203|^Peripherals and Accessories^|1|^U^|^P^|1|^STATUS^|149.99|149.99|^TOTAL^|1||1998-01-01-00-00-00||^A^|
27|^Multimedia speakers- 3" cones^|^Multimedia speakers- 3" cones^|^Accessories^|2031|^Accessories^|^Peripherals and Accessories^|203|^Peripherals and Accessories^|1|^U^|^P^|1|^STATUS^|44.99|44.99|^TOTAL^|1||1998-01-01-00-00-00||^A^|
28|^Unix/Windows 1-user pack^|^Unix/Windows 1-user pack^|^Operating Systems^|2052|^Operating Systems^|^Software/Other^|205|^Software/Other^|1|^U^|^P^|1|^STATUS^|199.99|199.99|^TOTAL^|1||1998-01-01-00-00-00||^A^|
29|^8.3 Minitower Speaker^|^8.3 Minitower Speaker^|^Home Audio^|2012|^Home Audio^|^Electronics^|201|^Electronics^|1|^U^|^P^|1|^STATUS^|499.99|499.99|^TOTAL^|1||1998-01-01-00-00-00||^A^|
30|^Mouse Pad^|^Mouse Pad^|^Accessories^|2051|^Accessories^|^Software/Other^|205|^Software/Other^|1|^U^|^P^|1|^STATUS^|9.99|9.99|^TOTAL^|1||1998-01-01-00-00-00||^A^|
31|^1.44MB External 3.5" Diskette^|^1.44MB External 3.5" Diskette^|^Accessories^|2051|^Accessories^|^Software/Other^|205|^Software/Other^|1|^U^|^P^|1|^STATUS^|8.99|8.99|^TOTAL^|1||1998-01-01-00-00-00||^A^|
32|^Multimedia speakers- 5" cones^|^Multimedia speakers- 5" cones^|^Accessories^|2031|^Accessories^|^Peripherals and Accessories^|203|^Peripherals and Accessories^|1|^U^|^P^|1|^STATUS^|67.99|67.99|^TOTAL^|1||1998-01-01-00-00-00||^A^|
33|^PCMCIA modem/fax 19200 baud^|^PCMCIA modem/fax 19200 baud^|^Modems/Fax^|2034|^Modems/Fax^|^Peripherals and Accessories^|203|^Peripherals and Accessories^|1|^U^|^P^|1|^STATUS^|44.99|44.99|^TOTAL^|1||1998-01-01-00-00-00||^A^|
34|^External 6X CD-ROM^|^External 6X CD-ROM^|^CD-ROM^|2032|^CD-ROM^|^Peripherals and Accessories^|203|^Peripherals and Accessories^|1|^U^|^P^|1|^STATUS^|39.99|39.99|^TOTAL^|1||1998-01-01-00-00-00||^A^|
35|^External 8X CD-ROM^|^External 8X CD-ROM^|^CD-ROM^|2032|^CD-ROM^|^Peripherals and Accessories^|203|^Peripherals and Accessories^|1|^U^|^P^|1|^STATUS^|49.99|49.99|^TOTAL^|1||1998-01-01-00-00-00||^A^|
36|^Envoy External 6X CD-ROM^|^Envoy External 6X CD-ROM^|^CD-ROM^|2032|^CD-ROM^|^Peripherals and Accessories^|203|^Peripherals and Accessories^|1|^U^|^P^|1|^STATUS^|44.99|44.99|^TOTAL^|1||1998-01-01-00-00-00||^A^|
37|^Envoy External 8X CD-ROM^|^Envoy External 8X CD-ROM^|^CD-ROM^|2032|^CD-ROM^|^Peripherals and Accessories^|203|^Peripherals and Accessories^|1|^U^|^P^|1|^STATUS^|54.99|54.99|^TOTAL^|1||1998-01-01-00-00-00||^A^|
38|^Internal 6X CD-ROM^|^Internal 6X CD-ROM^|^CD-ROM^|2032|^CD-ROM^|^Peripherals and Accessories^|203|^Peripherals and Accessories^|1|^U^|^P^|1|^STATUS^|29.99|29.99|^TOTAL^|1||1998-01-01-00-00-00||^A^|
39|^Internal 8X CD-ROM^|^Internal 8X CD-ROM^|^CD-ROM^|2032|^CD-ROM^|^Peripherals and Accessories^|203|^Peripherals and Accessories^|1|^U^|^P^|1|^STATUS^|34.99|34.99|^TOTAL^|1||1998-01-01-00-00-00||^A^|
40|^O/S Documentation Set - English^|^O/S Documentation Set - English^|^Documentation^|2054|^Documentation^|^Software/Other^|205|^Software/Other^|1|^U^|^P^|1|^STATUS^|44.99|44.99|^TOTAL^|1||1998-01-01-00-00-00||^A^|
41|^O/S Documentation Set - German^|^O/S Documentation Set - German^|^Documentation^|2054|^Documentation^|^Software/Other^|205|^Software/Other^|1|^U^|^P^|1|^STATUS^|44.99|44.99|^TOTAL^|1||1998-01-01-00-00-00||^A^|
42|^O/S Documentation Set - French^|^O/S Documentation Set - French^|^Documentation^|2054|^Documentation^|^Software/Other^|205|^Software/Other^|1|^U^|^P^|1|^STATUS^|44.99|44.99|^TOTAL^|1||1998-01-01-00-00-00||^A^|
43|^O/S Documentation Set - Spanish^|^O/S Documentation Set - Spanish^|^Documentation^|2054|^Documentation^|^Software/Other^|205|^Software/Other^|1|^U^|^P^|1|^STATUS^|44.99|44.99|^TOTAL^|1||1998-01-01-00-00-00||^A^|
44|^O/S Documentation Set - Italian^|^O/S Documentation Set - Italian^|^Documentation^|2054|^Documentation^|^Software/Other^|205|^Software/Other^|1|^U^|^P^|1|^STATUS^|44.99|44.99|^TOTAL^|1||1998-01-01-00-00-00||^A^|
45|^O/S Documentation Set - Kanji^|^O/S Documentation Set - Kanji^|^Documentation^|2054|^Documentation^|^Software/Other^|205|^Software/Other^|1|^U^|^P^|1|^STATUS^|44.99|44.99|^TOTAL^|1||1998-01-01-00-00-00||^A^|
46|^Standard Mouse^|^Standard Mouse^|^Accessories^|2031|^Accessories^|^Peripherals and Accessories^|203|^Peripherals and Accessories^|1|^U^|^P^|1|^STATUS^|22.99|22.99|^TOTAL^|1||1998-01-01-00-00-00||^A^|
